number,author,title,status,comment_count,reaction_count,reaction_heart_count,reaction_plusone_count,reaction_minusone_count,reaction_laugh_count,reaction_confused_count,reaction_hooray_count,created,updated,url
3761,abergmeier,Infinite refresh cyle,open,3,0,0,0,0,0,0,0,2018-12-19 14:17:11 UTC,2019-03-20 19:50:25 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3761
3751,demobox,Stage descriptions cropped in pipeline editor view,open,3,0,0,0,0,0,0,0,2018-12-17 21:54:03 UTC,2019-03-17 23:15:22 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3751
3731,abergmeier,OpenShift needs different Redis image,open,3,0,0,0,0,0,0,0,2018-12-14 16:39:07 UTC,2019-03-14 16:50:35 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3731
3722,azelezni,docker-registry provider ignores --insecure-registry,open,3,0,0,0,0,0,0,0,2018-12-13 12:16:16 UTC,2019-03-25 09:30:32 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3722
3708,hfrenzel,Heat template doesn't work with OpenStack Rocky,open,3,0,0,0,0,0,0,0,2018-12-11 15:27:36 UTC,2019-04-05 19:20:42 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3708
3693,lwander,Report artifact download errors better,open,3,0,0,0,0,0,0,0,2018-12-06 19:11:43 UTC,2019-03-06 23:00:30 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3693
3639,wuzhihui1123,com.amazonaws.services.s3.model.AmazonS3Exception: A header you provided implies functionality that is not implemented,open,3,0,0,0,0,0,0,0,2018-11-23 06:16:11 UTC,2019-03-10 23:25:19 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3639
3572,bhuvan,springboot 2.1 upgrade,open,3,0,0,0,0,0,0,0,2018-11-07 20:27:55 UTC,2019-02-21 18:55:17 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3572
3568,tobad357,Restrict Github user org uses wrong api,open,3,0,0,0,0,0,0,0,2018-11-07 12:53:25 UTC,2019-03-06 16:44:09 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3568
3553,ttomsu,FR: `credential-helper`-like design in spin CLI,open,3,0,0,0,0,0,0,0,2018-11-02 18:15:03 UTC,2019-04-06 13:35:18 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3553
